Locality,Offset,Register Name,Description
3,3047h-3044h,TPM_CRB_CTRL_STS_3,Same as TPM CRB_CTRL_STS_0
3,304Bh-3048h,TPM_CRB_CTRL_CANCEL_3,Same as TPM_CRB_CTRL_CANCEL_0
3,304Fh-304Ch,TPM_CRB_CTRL_START_3,Same as TPM_CRB_CTRL_START_0
3,3053h-3050h,TPM_CRB_INT_ENABLE_3,Same as TPM_CRB_INT_ENABLE_0
3,3057h-3054h,TPM_CRB_INT_STS_3,Same as TPM_CRB_INT_STS_0
3,305Bh-3058h,TPM_CRB_CTRL_CMD_SIZE_3,Same as TPM_CRB_CTRL_CMD_SIZE_0
3,305Fh-305Ch,TPM_CRB_CTRL_CMD_LADDR_3,Same as TPM_CRB_CTRL_CMD_LADDR_0
3,3063h-3060h,TPM_CRB_CTRL_CMD_HADDR_3,Same as TPM_CRB_CTRL_CMD_HADDR_0
3,3067h-3064h,TPM_CRB_CTRL_RSP_SIZE_3,Same as TPM_CRB_CTRL_RSP_SIZE_0
3,306Fh-3068h,TPM_CRB_CTRL_RSP_ADDR_3,Same as TPM_CRB_RSP_ADDR_0
3,307Fh-3070h,Reserved,Reserved
3,3EFFh-3080h,TPM_CRB_DATA_BUFFER_3,Same as TPM_CRB_DATA_BUFFER_0
3,3FFFh-3F00h,Reserved,Reserved for maximum size of Command/Response Buffer
4,4003h-4000h,TPM_LOC_STATE_4,Same as TPM_LOC_STATE_0
4,4007h-4004h,Undefined,Reserved
4,400Bh-4008h,TPM_LOC_CTRL_4,Used to gain control of a TPM by this locality.
4,400Fh-400Ch,TPM_LOCALITY_STS_4,Used to determine whether locality has been granted or seized. Read-only. This register SHALL NOT be aliased.
4,0013h-0010h,TPM_DATA_CSUM_ENABLE_4,Same as TPM_DATA_CSUM_ENABLE_0
4,0017h-0014h,TPM_DATA_CSUM_4,Same as TPM_DATA_CSUM_0
4,402Fh-4018h,Undefined,Reserved
4,4037h-4030h,TPM_CRB_INTF_ID_4,Same as TPM_CRB_INTF_ID_0
4,403Fh-4038h,Undefined,Reserved
4,4043h-4040h,TPM_CRB_CTRL_REQ_4,Same as TPM_CRB_CTRL_REQ_0
4,4047h-4044h,TPM_CRB_CTRL_STS_4,Same as TPM CRB_CTRL_STS_0
4,404Bh-4048h,TPM_CRB_CTRL_CANCEL_4,Same as TPM_CRB_CTRL_CANCEL_0
4,404Fh-404Ch,TPM_CRB_CTRL_START_4,Same as TPM_CRB_CTRL_START_0
4,4053h-4050h,TPM_CRB_INT_ENABLE_4,Same as TPM_CRB_INT_ENABLE_0
4,4057h-4054h,TPM_CRB_INT_STS_4,Same as TPM_CRB_INT_STS_0
4,405Bh-4058h,TPM_CRB_CTRL_CMD_SIZE_4,Same as TPM_CRB_CTRL_CMD_SIZE_0
4,405Fh-405Ch,TPM_CRB_CTRL_CMD_LADDR_4,Same as TPM_CRB_CTRL_CMD_LADDR_0
4,4063h-4060h,TPM_CRB_CTRL_CMD_HADDR_4,Same as TPM_CRB_CTRL_CMD_HADDR_0
4,4067h-4064h,TPM_CRB_CTRL_RSP_SIZE_4,Same as TPM_CRB_CTRL_RSP_SIZE_0
4,406Fh-4068h,TPM_CRB_CTRL_RSP_ADDR_4,Same as TPM_CRB_RSP_ADDR_0
4,407Fh-4070h,Undefined,Reserved
4,4EFFh-4080h,TPM_CRB_DATA_BUFFER_4,Same as TPM_CRB_DATA_BUFFER_0
4,4FFFh-4F00h,Reserved,Reserved for maximum size of Command/Response Buffer
